osmid,y,x,street_count,elevation,highway
1486919467,41.3249542,-8.7224572,1,50.0,
1487705416,41.3048585,-8.7025339,3,58.0,
1487705422,41.3046806,-8.7024095,3,58.0,
1487705484,41.304998,-8.7021796,3,58.0,
1487705525,41.3050342,-8.7017525,3,50.0,
1487705613,41.3060538,-8.6979099,3,53.0,
1487706006,41.3065676,-8.6992445,3,56.0,
1487706250,41.3068523,-8.7036255,3,50.0,
1487706256,41.3071709,-8.7038285,3,50.0,
1487706456,41.30746,-8.7023305,3,50.0,
1487706853,41.3096128,-8.7054293,4,45.0,
1487706860,41.3096485,-8.7080965,3,43.0,
1487707051,41.3116819,-8.7117917,3,35.0,
1487707249,41.3120795,-8.7104334,3,35.0,
1487707280,41.3124953,-8.7120098,4,35.0,
1487707283,41.3127383,-8.7114621,3,35.0,
1487707345,41.312989,-8.7121797,1,35.0,
1487707367,41.3141705,-8.712222,3,35.0,
1802287902,41.3048202,-8.7020556,3,50.0,
2286838820,41.3198188,-8.7122382,4,52.0,
2295378462,41.3076933,-8.7289216,3,39.0,
2295378471,41.3082991,-8.7276613,3,39.0,
2295378477,41.3082668,-8.7286912,3,39.0,
2295378480,41.3085625,-8.7290417,3,28.0,
2295386642,41.3090086,-8.7284447,3,28.0,
2295387372,41.3094438,-8.736168,3,9.0,
2295387439,41.30877,-8.7367893,3,9.0,
2295387441,41.3086602,-8.7374123,3,9.0,
2295387773,41.3087599,-8.7367593,3,9.0,
2295387774,41.3088255,-8.7362045,3,9.0,
2297808417,41.3093342,-8.7369411,3,9.0,
2297808418,41.3081763,-8.7366016,3,9.0,
2297808419,41.3073222,-8.736282,3,9.0,crossing
2297808420,41.3073037,-8.7354763,4,9.0,crossing
2297808421,41.3072806,-8.734667,4,15.0,crossing
2297813173,41.3167863,-8.734188,3,8.0,
2297813180,41.3181415,-8.7354868,3,4.0,
2297813226,41.3225263,-8.7341166,4,9.0,
2298905780,41.3142394,-8.7394639,3,8.0,
2298905781,41.3141809,-8.7395897,3,0.0,
2298905782,41.3129274,-8.7396468,3,0.0,
2298905783,41.3122534,-8.7395968,3,0.0,
2298905784,41.3116406,-8.7396477,4,0.0,
2298905790,41.3085524,-8.7390888,4,9.0,
2298905791,41.3086827,-8.7388679,3,9.0,
2298905794,41.3130262,-8.739395,3,8.0,
2298905796,41.3130585,-8.7391932,3,8.0,
2298905797,41.3130541,-8.7390242,3,8.0,
2298905798,41.3114542,-8.7392476,3,9.0,
2298905800,41.3114543,-8.7390757,3,9.0,
2298905801,41.3122579,-8.7394212,4,9.0,
2298905802,41.3122548,-8.7392204,4,9.0,
2298905803,41.3122516,-8.7390504,3,9.0,
2298905808,41.3116266,-8.7394458,3,9.0,
2298908210,41.3079802,-8.7376786,3,3.0,
2299038368,41.3105959,-8.7400501,3,0.0,
2299038379,41.3104291,-8.7398476,3,0.0,
2299038384,41.3103834,-8.7400155,3,0.0,
2299038386,41.3102378,-8.7398672,3,0.0,
2299042284,41.3102225,-8.7388631,3,9.0,
2299042285,41.3109521,-8.7390125,3,9.0,
2299042286,41.3116141,-8.7380889,3,9.0,
2299042288,41.3109895,-8.7390194,3,9.0,
2299051450,41.3102266,-8.7364398,3,9.0,
2299051451,41.3097463,-8.7394128,3,9.0,
2299051452,41.3102441,-8.7394441,3,9.0,
2302835508,41.3076371,-8.7256508,3,37.0,
2302835513,41.3077275,-8.7248492,1,29.0,
2302851699,41.3175616,-8.7228924,3,18.0,
2302851709,41.3174939,-8.7224857,3,18.0,
2302857433,41.3174652,-8.7224957,3,18.0,
2302857437,41.3173637,-8.7227197,3,18.0,
2302857444,41.3177341,-8.7229085,3,18.0,
2302857448,41.3176501,-8.7225774,3,18.0,
2302857450,41.3176697,-8.7227486,3,18.0,
2302860055,41.3176267,-8.7223394,3,18.0,crossing
2302861192,41.3172909,-8.7224981,3,18.0,crossing
3016736612,41.3075932,-8.7387952,4,3.0,
3016736620,41.3096799,-8.7397799,3,0.0,
3016736621,41.308443,-8.7392941,1,9.0,
3016736622,41.307704,-8.7384425,3,3.0,
3016736623,41.3075297,-8.7390071,1,3.0,
3016736624,41.3060831,-8.7383956,3,0.0,
3016736625,41.3057436,-8.7384145,1,0.0,
3050546705,41.317875,-8.7386862,3,1.0,
3050546713,41.3182944,-8.738659,3,1.0,
3566908153,41.3089834,-8.706631,3,43.0,
3566908795,41.318589,-8.7198943,1,29.0,
3897693135,41.3196751,-8.7127849,3,39.0,
3897693140,41.319771,-8.7123867,3,52.0,
3897693162,41.3201694,-8.7131005,3,39.0,
