city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges,great_circle_m,circuity
Lanaken,2600699267,315884710,6790.512808558905,6935.810619499035,145.29781094013015,2.1397177950536186,8768.9445434639,8035.53130706348,8.36375726594238,53.84615384615385,False,65,66,5675.218497761967,1.2221222182430835
Lanaken,5824296439,12097314739,5157.323350043532,5527.7902967986565,370.4669467551248,7.183318198421625,8059.082589545355,6433.071394091168,20.176132672514488,50.0,False,77,62,4547.934069336573,1.2154508426295239
Lanaken,258891708,35344796,7077.249151467396,7077.249151467396,0.0,0.0,8627.282598547723,8627.282598547723,0.0,100.0,False,29,29,5418.7399517980175,1.3060691626508227
Lanaken,6581845219,621021779,4896.868144562688,4906.233360065094,9.36521550240559,0.19124908463799253,5198.724744747283,5176.148438253861,0.4342662403165796,58.97435897435897,False,40,39,3287.8207270028806,1.4922447929627627
Lanaken,5907046890,2576245766,6374.850752424754,6408.106280032207,33.25552760745268,0.5216675479783354,6842.437457309567,6815.55804865136,0.3928338231209262,85.18518518518519,False,55,54,4791.060924194618,1.3375130021143316
Lanaken,923018236,191072795,4516.361192016532,4592.8128959532805,76.45170393674834,1.6927721385944565,5024.457893716645,4985.454148124275,0.7762776884078685,94.87179487179488,False,39,40,3718.1835252273277,1.2352302851087693
Lanaken,2800121262,3785155347,2543.6098121989135,2618.8863873129044,75.27657511399093,2.9594387768505825,3471.024528060339,3080.349288717385,11.255329260414907,42.30769230769231,False,47,26,1768.5570247481014,1.480804040054019
Lanaken,1621374026,12873908002,1444.9487548301781,1446.8657148903217,1.9169600601435377,0.1326663007068949,1646.7214213698148,1634.9446207248723,0.7151665419610629,76.19047619047619,False,25,21,1029.5410218709067,1.4053502329232521
Lanaken,9140691693,1376471020,1793.487382387506,1793.487382387506,0.0,0.0,2424.810422341422,2424.810422341422,0.0,100.0,False,10,10,1380.027197328868,1.2996029251154737
Lanaken,2317747942,13355806970,7161.751087128905,7367.1427739249975,205.39168679609247,2.8678975895325696,8632.681543475665,8086.777060402941,6.323695370012839,39.39393939393939,False,66,80,5516.682841444802,1.3354298199958812
Lanaken,3780154223,325739191,8961.6323390005,9103.38907621036,141.75673720986015,1.5818182653281045,11262.03851033955,10582.289125371448,6.035757952204046,64.70588235294117,False,82,68,7434.301806509328,1.2245116371573201
Lanaken,4559246229,13274574191,5334.918560325498,5526.078175312484,191.15961498698562,3.583177752863812,6598.011094585105,6519.299590667506,1.192958041283019,60.78431372549019,False,57,51,4481.203770196184,1.2331682419946182
Lanaken,6064511461,258891710,7570.720402643504,7902.789034415315,332.06863177181094,4.386222368691108,9189.316268694563,8793.599558767024,4.30626934971904,83.92857142857143,False,60,56,5647.0978781796875,1.3994425464009732
Lanaken,11967483783,94101886,6479.444272977918,7033.14082364291,553.6965506649913,8.545432715181224,9973.010271798095,8794.378419547722,11.818215565097082,64.1025641025641,False,81,78,5040.64450858451,1.39528602179048
Lanaken,6154111689,2317491971,3636.967112492555,3778.2102061709693,141.24309367841443,3.8835405795466498,4834.820223482691,3984.332756086335,17.590880903193547,0.0,True,26,20,2589.2736977757,1.4591776100829426
Lanaken,5745854153,1477629891,2225.2917550489788,2266.512670931302,41.220915882323425,1.8523825376513898,2481.982584754272,2481.583440781574,0.016081658878254138,81.25,False,16,20,1710.4327416720357,1.325110666857131
Lanaken,190197476,36948772,1822.4734390650224,1822.4734390650224,0.0,0.0,2397.4993998912446,2397.4993998912446,0.0,100.0,False,11,11,931.955513172048,1.9555369471038004
Lanaken,9140680751,3789414580,1110.4424128357894,1110.4424128357894,0.0,0.0,1252.353376988799,1252.353376988799,0.0,100.0,False,14,14,789.5308768635545,1.4064585000742085
Lanaken,31723462,12180610089,2235.3722646941997,2235.3722646941997,0.0,0.0,2888.3853485316185,2888.3853485316185,0.0,100.0,False,26,26,494.72209957487456,4.518440285192644
Lanaken,12293437851,11967483804,4185.085080540208,4621.537319566926,436.4522390267184,10.428754269683365,5851.653918953559,5679.213368949533,2.946868567286408,38.297872340425535,False,47,54,3441.5330693673736,1.3428716872438662
Lanaken,923038615,10271882064,5350.6640728322645,5556.055759628357,205.39168679609247,3.8386204777638486,6658.678371456349,6112.773888383631,8.198390921129906,13.043478260869565,False,46,60,4346.650129532987,1.2782385501603073
Lanaken,4960605262,261887118,4827.803219143575,5535.000298614509,707.1970794709341,14.64842387665475,7252.506888777532,6824.914715119442,5.8957844537830475,54.83870967741935,False,44,31,3965.67689203367,1.3957264924263817
Lanaken,13061834696,35344803,8804.258955105544,9206.679252229875,402.4202971243303,4.57074580809517,11528.928448928662,10678.74334050719,7.374363646956944,57.5,False,48,40,7942.482312785934,1.1591689964998495
Lanaken,7717805078,7006677708,2300.6185339433414,2305.57683649887,4.958302555528462,0.2155204125487834,2572.137995459154,2564.682122726308,0.28987063470188607,88.0,False,26,25,1191.02770647784,1.9357877436092767
Lanaken,9140672194,4072520432,518.7891542504761,518.7891542504761,0.0,0.0,632.4029821552405,632.4029821552405,0.0,100.0,False,7,7,397.0785119417305,1.3065153078004033
Lanaken,2341003575,2327521747,4726.133559861483,4726.133559861483,0.0,0.0,5018.343519433543,5018.343519433543,0.0,100.0,False,42,42,3782.9161823348786,1.2493360497732295
Lanaken,325736446,4512885602,4462.607746534355,4530.444033272564,67.83628673820931,1.520104176552168,5192.565111548653,5111.869922951755,1.554052512840432,15.384615384615385,False,35,26,3493.6326648402055,1.2967717181221687
Lanaken,923014775,4559179544,2813.5765660680036,2813.5765660680036,0.0,0.0,2917.9679482861447,2917.9679482861447,0.0,100.0,False,26,26,2687.1105951619047,1.0470639247725042
Lanaken,3808908039,13061712212,8575.99974911255,9365.779397985249,789.7796488726981,9.20918460794527,13516.599819241506,11121.238798958608,17.72162416818016,33.333333333333336,False,117,45,7217.5506184197775,1.2976395862168277
Lanaken,3789411621,12873928599,1794.495139450001,1794.495139450001,0.0,0.0,2097.782719531559,2097.782719531559,0.0,100.0,False,28,28,1354.767297033306,1.324578134842507
Lanaken,258893419,36948632,3912.6987195951324,4104.940926575836,192.2422069807035,4.9132892859329536,4861.412150448579,4660.114122383731,4.140731578298161,82.3529411764706,False,19,17,3415.447833230232,1.2018748717627175
Lanaken,2327707827,365276111,5439.862545915092,5453.9166962021045,14.054150287012817,0.2583548787931485,6123.902495588091,6009.364170053815,1.870348615393449,90.3225806451613,False,31,33,4750.936891454701,1.1479665633975946
Lanaken,1640542795,4538597295,10203.760163608797,10907.9532593677,704.1930957589029,6.901309757067523,13837.505046736818,12397.321547721967,10.4078263686305,48.05194805194805,False,100,77,7982.416990108276,1.3664975499131047
Lanaken,12536099014,5227963783,1391.2266935608727,1595.2541433776673,204.02744981679461,14.665291484206808,2124.5338191802416,1768.8010206558959,16.744040283698872,7.142857142857143,False,16,14,904.6993780312338,1.7632974909844503
Lanaken,11161650430,7717805103,8805.862117732702,9588.780693653207,782.9185759205047,8.890879342113609,14748.092540004904,11931.144342517482,19.100423935138156,57.47126436781609,False,100,87,7386.84282356007,1.2980891732351654
Lanaken,12294686488,365275712,7799.272434363201,8124.97021691286,325.6977825496597,4.1760021244372965,11318.608095817253,9277.655331443666,18.031835249493383,26.19047619047619,False,108,42,6457.421696542847,1.258237513164547
Lanaken,2600705500,3808908032,2714.870503983334,2714.870503983334,0.0,0.0,3972.1935614452987,3972.1935614452987,0.0,100.0,False,24,24,2286.8002553264887,1.1871917967735792
Lanaken,12527537093,2204882029,1598.162901150122,1611.8915170619184,13.728615911796396,0.859024815425046,2147.681008000931,2083.832366727039,2.9729108296824136,86.20689655172414,False,29,32,1333.5130204579652,1.2087557394140407
Lanaken,2079037650,12873954315,3078.8104935965493,3078.8104935965493,0.0,0.0,3665.882580731382,3665.882580731382,0.0,100.0,False,33,33,2356.8922956597125,1.306300885817426
Lanaken,3785155159,4538678689,7256.4389660948655,7491.997843630203,235.55887753533716,3.246204903479066,9709.183107691064,8933.2554231389,7.991688651309065,36.36363636363637,False,55,62,4693.5357431695775,1.5962375176396983
Lanaken,1477629854,370250015,2324.5616457360675,2324.5616457360675,0.0,0.0,2393.9917314939084,2393.9917314939084,0.0,100.0,False,17,17,1914.7494189614242,1.214029168890898
Lanaken,1621401439,325736791,3358.130508965464,3744.5230918074426,386.39258284197876,11.506181246094998,5112.172878693082,4468.067749294044,12.59943950807278,4.3478260869565215,False,39,23,2908.8014429085456,1.2873079050948382
Lanaken,1477629899,12192914385,4820.6588177280355,4820.6588177280355,0.0,0.0,5231.242989910282,5231.242989910282,0.0,100.0,False,38,38,3920.351795576973,1.2296495490957746
