u,v,key,osmid,lit,lanes,surface,name,ref,highway,maxspeed,oneway,reversed,length,grade,grade_abs,elevation_change,junction,sidewalk,access,bridge,service,incline,tactile_paving,smoothness,tunnel,width,est_width,footway
30985255,30985254,0,4821315,,,,A. G. Bellstraat,,residential,,False,False,113.48555376135872,-0.017623388472912314,0.017623388472912314,-2.0,,,,,,,,,,,,
30985255,30985289,0,8153402,,,asphalt,A. G. Bellstraat,,residential,,False,False,218.21175235711127,-0.0045827045940379256,0.0045827045940379256,-1.0,,,,,,,,,,,,
30985256,3785155313,0,4821313,,,asphalt,G. Mercatorstraat,,residential,,False,True,113.59294567812063,-0.008803363571833247,0.008803363571833247,-1.0,,,,,,,,,,,,
30985256,2216215626,0,4821314,,,asphalt,A. Nobelstraat,,residential,,False,False,139.9106017109366,0.0,0.0,0.0,,,,,,,,,,,,
30985256,30985255,0,4821314,,,asphalt,A. Nobelstraat,,residential,,False,True,85.64591618823762,0.011675979947510181,0.011675979947510181,1.0,,,,,,,,,,,,
30985260,3785155314,0,4821313,,,asphalt,G. Mercatorstraat,,residential,,False,False,111.21531821180014,-0.008991567133725094,0.008991567133725094,-1.0,,,,,,,,,,,,
30985260,30985249,0,375126553,,,asphalt,Louis Pasteurstraat,,residential,,False,False,136.25838002031003,-0.022016994474415696,0.022016994474415696,-3.0,,,,,,,,,,,,
30985260,30985266,0,375126553,,,asphalt,Louis Pasteurstraat,,residential,,False,True,103.77507566418295,0.0,0.0,0.0,,,,,,,,,,,,
30985266,9857625502,0,211639975,,,asphalt,Louis Pasteurstraat,,residential,30,False,True,84.23721014574369,0.0,0.0,0.0,,,,,,,,,,,,
30985266,2216215626,0,4821314,,,asphalt,A. Nobelstraat,,residential,,False,True,74.05272133347025,0.0,0.0,0.0,,,,,,,,,,,,
30985266,30985260,0,375126553,,,asphalt,Louis Pasteurstraat,,residential,,False,False,103.77507566418296,0.0,0.0,0.0,,,,,,,,,,,,
30985282,12293457015,0,8153403,,,asphalt,Chr. Plantijnstraat,,residential,30,False,True,11.679543013183162,0.0,0.0,0.0,,,,,,,,,,,,
30985282,12293457017,0,375126547,,,asphalt,Chr. Plantijnplein,,residential,,False,True,20.883406455294402,0.0,0.0,0.0,,,,,,,,,,,,
30985282,3785155280,0,8153403,,,asphalt,Chr. Plantijnstraat,,residential,30,False,False,105.77361315040909,0.0,0.0,0.0,,,,,,,,,,,,
30985287,30985289,0,375126547,,,asphalt,Chr. Plantijnplein,,residential,,False,True,11.066092666634987,0.0,0.0,0.0,,,,,,,,,,,,
30985287,12293457016,0,1328749156,,,,,,path,,False,False,21.893510288476445,0.0,0.0,0.0,,,,,,,,,,,,
30985287,12293457017,0,375126547,,,asphalt,Chr. Plantijnplein,,residential,,False,False,32.30577117314669,0.0,0.0,0.0,,,,,,,,,,,,
30985289,30985287,0,375126547,,,asphalt,Chr. Plantijnplein,,residential,,False,False,11.066092666634987,0.0,0.0,0.0,,,,,,,,,,,,
30985289,12293457018,0,375126547,,,asphalt,Chr. Plantijnplein,,residential,,False,True,21.42854677472866,0.0,0.0,0.0,,,,,,,,,,,,
30985289,30985255,0,8153402,,,asphalt,A. G. Bellstraat,,residential,,False,True,218.21175235711127,0.0045827045940379256,0.0045827045940379256,1.0,,,,,,,,,,,,
30985291,12293457015,0,8153403,,,asphalt,Chr. Plantijnstraat,,residential,30,False,False,11.301952061679078,0.0,0.0,0.0,,,,,,,,,,,,
30985291,30985292,0,375126546,,,asphalt,Christoffel Plantijnstraat,,residential,,False,True,71.8553296678228,0.013916852161459157,0.013916852161459157,1.0,,,,,,,,,,,,
30985291,12293457018,0,375126547,,,asphalt,Chr. Plantijnplein,,residential,,False,False,21.77437346582067,0.0,0.0,0.0,,,,,,,,,,,,
30985292,2216215592,0,211638235,,,asphalt,Kromme Weg,,residential,,False,False,156.2339187319935,0.0,0.0,0.0,,,,,,,,,,,,
30985292,30985291,0,375126546,,,asphalt,Christoffel Plantijnstraat,,residential,,False,False,71.8553296678228,-0.013916852161459157,0.013916852161459157,-1.0,,,,,,,,,,,,
30985292,5355110781,0,4821318,,,asphalt,Kromme Weg,,residential,,False,True,91.38438919065428,0.0,0.0,0.0,,,,,,,,,,,,
30985295,31262513,0,678576047,,2,asphalt,Maastrichterweg,N77,secondary,50,False,True,49.00567402578807,0.0,0.0,0.0,,,,,,,,,,,,
30985295,5355110781,0,4821318,,,asphalt,Kromme Weg,,residential,,False,False,39.44050299355065,0.0,0.0,0.0,,,,,,,,,,,,
30985295,31028072,0,678576047,,2,asphalt,Maastrichterweg,N77,secondary,50,False,False,108.36387259178099,0.018456335604895065,0.018456335604895065,2.0,,,,,,,,,,,,
30985300,30985302,0,"[4832212, 1035354806, 1035354807]",,,asphalt,Brugstraat,,"['residential', 'service', 'footway']",,False,"[False, True]",41.1107045763511,0.0,0.0,0.0,,,,,driveway,,,,,,,
30985300,30985236,0,275379829,,2,asphalt,Brugstraat,N77,tertiary,50,False,False,30.50258403827547,0.0,0.0,0.0,,,,,,,,,,,,
30985300,30985301,0,"[275379829, 1328638262]",,2,asphalt,Brugstraat,N77,tertiary,50,False,True,26.144158828080567,0.0,0.0,0.0,,both,,,,,,,,,,
30985301,30985302,0,156790182,,,asphalt,Oude Heirbaan,,residential,,False,True,17.68999761943089,0.0,0.0,0.0,,,,,,,,,,,,
30985301,30985300,0,"[275379829, 1328638262]",,2,asphalt,Brugstraat,N77,tertiary,50,False,False,26.144158828080567,0.0,0.0,0.0,,both,,,,,,,,,,
30985301,30985235,0,1328638262,,2,asphalt,Brugstraat,N77,tertiary,50,False,True,12.688834839679696,0.0,0.0,0.0,,both,,,,,,,,,,
30985302,30985301,0,156790182,,,asphalt,Oude Heirbaan,,residential,,False,False,17.68999761943089,0.0,0.0,0.0,,,,,,,,,,,,
30985302,1690266669,0,156790182,,,asphalt,Oude Heirbaan,,residential,,False,True,150.7068679403112,0.013270795334902174,0.013270795334902174,2.0,,,,,,,,,,,,
30985302,30985300,0,"[4832212, 1035354806, 1035354807]",,,asphalt,Brugstraat,,"['footway', 'service', 'residential']",,False,"[False, True]",41.110704576351104,0.0,0.0,0.0,,,,,driveway,,,,,,,
30985303,12531587831,0,4784888,yes,2,asphalt,Maaseikersteenweg,N766,secondary,70,False,False,102.3304673775264,0.0,0.0,0.0,,,,,,,,,,,,
30985303,30985304,0,4784888,yes,2,asphalt,Maaseikersteenweg,N766,secondary,70,False,True,22.9121208182036,0.0,0.0,0.0,,,,,,,,,,,,
30985303,30985242,0,4821308,,,asphalt,Veugenlaan,,residential,,False,True,172.4551915293017,-0.0057986076912627535,0.0057986076912627535,-1.0,,,,,,,,,,,,
30985304,30985303,0,4784888,yes,2,asphalt,Maaseikersteenweg,N766,secondary,70,False,False,22.9121208182036,0.0,0.0,0.0,,,,,,,,,,,,
30985304,30642904,0,4784888,yes,2,asphalt,Maaseikersteenweg,N766,secondary,70,False,True,171.7748574500944,-0.029107868719685275,0.029107868719685275,-5.0,,,,,,,,,,,,
30985304,30985245,0,4821309,,,asphalt,Haegendoornstraat,,residential,,False,False,145.88043716490225,-0.006854928730914117,0.006854928730914117,-1.0,,,,,,,,,,,,
31028072,3785155258,0,375126555,yes,1,asphalt,Maastrichterweg,N77,secondary,50,False,False,63.32339782182513,0.0,0.0,0.0,,,,,,,,,,,,
31028072,31723468,0,375126556,yes,1,asphalt,Maastrichterweg,N77,secondary,50,False,True,64.93368300682425,0.0,0.0,0.0,,,,,,,,,,,,
31028072,30985295,0,678576047,,2,asphalt,Maastrichterweg,N77,secondary,50,False,True,108.36387259178098,-0.01845633560489507,0.01845633560489507,-2.0,,,,,,,,,,,,
31028082,4285671499,0,429422934,,,asphalt,Koning Albertlaan,N78a,tertiary,50,False,False,36.461258471282704,0.0822791128387089,0.0822791128387089,3.0,,,,,,,,,,,,
31028082,31028083,0,"[4826845, 1354166213]",,,asphalt,Rode Kruisstraat,,residential,50,False,True,23.32840721820406,0.0,0.0,0.0,,,,,,,,,,,,
31028082,4285671500,0,1354167952,,,asphalt,Koning Albertlaan,N78a,tertiary,50,False,True,36.42956206182184,0.0,0.0,0.0,,,,,,,,,,,,
31028082,619435128,0,"[48829570, 1435364213]",,2,asphalt,Koning Albertlaan,N78a,tertiary,50,False,True,75.9889233024056,0.0,0.0,0.0,,,,,,,,,,,,
31028083,31028082,0,"[1354166213, 4826845]",,,asphalt,Rode Kruisstraat,,residential,50,False,False,23.328407218204056,0.0,0.0,0.0,,,,,,,,,,,,
31028083,12531584229,0,4826845,,,asphalt,Rode Kruisstraat,,residential,50,False,True,111.02923304185272,0.02701991104332985,0.02701991104332985,3.0,,,,,,,,,,,,
31028083,12531584228,0,"[1354167947, 1354166219, 1354167948]",,,,,,"['service', 'path']",,False,False,146.41678207049586,0.020489454539135945,0.020489454539135945,3.0,,,,,,,,,,,,
31075598,31075602,0,8153388,no,,asphalt,Maasdijk,,unclassified,,False,False,74.05096873678546,0.094529485831327,0.094529485831327,7.0,,,,,,,,,,,,
31075598,31075600,0,38882631,no,,asphalt,Maasdijk,,unclassified,,False,False,97.93290784772893,0.07147750591541667,0.07147750591541667,7.0,,,,,,,,,,,,
31075598,12292463193,0,211644826,yes,,asphalt,Maasdijk,,residential,30,False,True,171.38042869562022,0.0291748599186914,0.0291748599186914,5.0,,no,,,,,,,,,,
31075600,31075598,0,38882631,no,,asphalt,Maasdijk,,unclassified,,False,True,97.93290784772893,-0.07147750591541667,0.07147750591541667,-7.0,,,,,,,,,,,,
31075602,11349642756,0,4832183,,,asphalt,Kerkhofstraat,,residential,,False,False,633.3596672726887,0.0,0.0,0.0,,,,,,,,,,,,
31075602,12292367601,0,4841105,no,,asphalt,Kerkhofstraat,,service,,False,True,848.0964471568643,-0.002358222353960739,0.002358222353960739,-2.0,,,,,,,,,,,,
