city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges
Maastricht,4641937848,703434912,7046.8425697289085,7197.029592199923,150.18702247101464,2.1312668898858673,8895.960861443064,8102.450515777653,8.919894748015908,63.2183908045977,False,174,177
Maastricht,259070786,2312109788,5844.072498768736,5904.363569443779,60.29107067504265,1.0316619221911625,6525.840841432515,6395.012426339785,2.004774837015662,80.35714285714286,False,112,114
Maastricht,41986675,12379344092,2221.1926208744953,2544.6419158297767,323.4492949552814,14.56196513150389,2959.6834835516647,2723.113160085424,7.993095369182944,11.764705882352942,False,51,54
Maastricht,2154319089,41963257,2331.2071409085056,2374.1634835077784,42.95634259927283,1.8426651945880757,2874.4905974687326,2868.6335986376826,0.20375780098942514,97.61904761904762,False,42,44
Maastricht,2994532008,293922990,1058.2437352346603,1069.4284758911285,11.184740656468193,1.0569153668543128,1306.4317227836848,1243.8253000981401,4.792169509796177,38.70967741935484,False,31,31
Maastricht,41938392,13315321496,7369.164497503398,7398.102871300907,28.938373797509485,0.3926954515306793,8571.88125374146,8521.245437694944,0.5907199895520441,95.8041958041958,False,143,146
Maastricht,41959615,303941841,7164.523391796822,7426.570645992691,262.04725419586975,3.657567152281288,9538.865977323494,8481.392256837486,11.085947983753142,38.028169014084504,False,144,142
Maastricht,2862739453,4760150317,4027.675538484912,4028.489559445057,0.8140209601447168,0.020210688581208964,4478.59101421097,4471.136772228421,0.16644167683308064,94.56521739130434,False,92,94
Maastricht,11251769844,11764433031,4139.771880296248,4196.215958803662,56.444078507413906,1.3634586672774511,4960.032255510321,4942.515205935232,0.35316402540786973,93.33333333333333,False,75,80
Maastricht,41975371,11603177151,1330.9884160985634,1330.9884160985634,0.0,0.0,1553.6434983872978,1553.6434983872978,0.0,100.0,False,27,27
Maastricht,702280486,11253803495,1414.6100855770774,1440.4915632703342,25.881477693256784,1.8295838519134175,1561.8143770003535,1520.1134053594155,2.6700337924298996,40.74074074074074,False,29,27
Maastricht,610303145,42015685,5402.165956602427,5499.679781048981,97.51382444655337,1.8050875376639213,6677.379316352252,6317.716451376391,5.386287762552023,69.73684210526316,False,76,90
Maastricht,269965836,41960372,4635.506714226538,4898.297629406999,262.7909151804606,5.669087143676133,6956.75698985862,5539.519653345486,20.372097783193308,60.0,False,60,113
