osmid,y,x,street_count,elevation,highway,ref
610303111,50.8442992,5.6960105,3,47.0,,
610303116,50.8445994,5.6966374,3,47.0,,
610303117,50.8446572,5.6968839,3,47.0,,
610303123,50.8432025,5.6954344,3,51.0,,
610303130,50.843944,5.6953454,3,50.0,,
610303132,50.8442548,5.6946735,4,50.0,,
610303133,50.8440624,5.6942921,3,50.0,,
610303137,50.8437652,5.6909027,3,50.0,,
610303140,50.8450106,5.6965881,3,47.0,crossing,
610303141,50.8436822,5.6931353,3,53.0,,
610303143,50.8437653,5.6934095,3,49.0,,
610303145,50.8439327,5.6934752,3,49.0,,
610303146,50.84411,5.6926954,4,49.0,,
610303154,50.8441168,5.6941813,3,50.0,,
610303157,50.8445385,5.6942917,3,50.0,,
610303160,50.8438244,5.6944256,3,50.0,,
610303161,50.843886,5.6931398,3,49.0,,
610303163,50.8435117,5.6912692,3,51.0,,
610303171,50.843233,5.69081,3,51.0,,
610303173,50.8439711,5.6927115,3,49.0,,
610303177,50.8438451,5.6919466,3,49.0,,
610303180,50.8436426,5.6918693,3,53.0,,
610303182,50.8435443,5.6920678,3,53.0,,
610303194,50.8435925,5.6916537,4,51.0,,
610303196,50.8434617,5.6910711,3,51.0,,
610303200,50.8432908,5.6906169,1,51.0,,
610303201,50.843864,5.6914898,3,50.0,,
610303204,50.8432576,5.6918282,4,53.0,,
610303207,50.8432858,5.6919521,3,53.0,,
610303215,50.843806,5.6841379,4,60.0,,
610303220,50.8443947,5.683646,3,60.0,,
610303221,50.8443336,5.6834388,3,60.0,,
610303232,50.8442862,5.6850833,3,60.0,,
610303235,50.8448768,5.6840276,3,60.0,,
610303248,50.8434661,5.6846968,3,52.0,,
610303254,50.8438765,5.6853337,3,60.0,,
610303255,50.8439449,5.685497,1,54.0,,
610303262,50.8433177,5.6839296,3,52.0,,
610303276,50.8425127,5.682275,3,54.0,,
610303281,50.8430125,5.681788,3,54.0,,
610303286,50.8432024,5.6811252,4,58.0,,
610303295,50.8432482,5.6819703,3,54.0,,
610303313,50.8438448,5.6860337,3,54.0,,
610303322,50.8429957,5.6801702,4,58.0,,
610303355,50.8431805,5.680795,3,58.0,,
610303356,50.8431956,5.6809988,3,58.0,,
610304027,50.8439797,5.6933215,3,49.0,,
610308463,50.8437303,5.68011,4,58.0,,
610308588,50.8436304,5.6815583,4,54.0,,
610308642,50.8435071,5.6804753,3,58.0,,
610308681,50.8434037,5.6803293,1,58.0,,
610311624,50.8419064,5.686038,3,52.0,,
610311643,50.8417091,5.685558,1,52.0,,
610323279,50.8475914,5.6812909,3,63.0,,
610323280,50.8469079,5.6834652,3,60.0,,
610323286,50.8473336,5.6820551,1,63.0,,
610323288,50.8469323,5.6817952,3,63.0,,
610323294,50.8465282,5.6822344,3,63.0,,
611615981,50.8542532,5.6899925,3,50.0,,
611760357,50.8413871,5.7041166,3,50.0,,
611797446,50.8500972,5.7069173,4,49.0,crossing,
611803599,50.8500272,5.7080667,3,49.0,,
611803611,50.8501536,5.7074942,3,49.0,,
